Party Name,Ward,Name,Votes
LDF,1,Sreekrishnapuram,24949
LDF,2,Kadambazhipuram,20636
UDF,3,ALANALLUR,33684
UDF,4,Thenkara,27434
LDF,5,ATTAPPADY,16576
LDF,6,KANJIRAPPUZHA,19890
LDF,7,KONGAD,20854
LDF,8,Parali,21491
LDF,9,Puduppariyaram,23235
LDF,10,Malampuzha,21540
LDF,11,Pudussery,25993
LDF,12,Kozhinjampara,27013
LDF,13,Meenakshipuram,26721
LDF,14,Koduvayur,24836
LDF,15,Kollengode,22899
LDF,16,Nenmara,26289
LDF,17,Pallassana,27673
LDF,18,Kizhakkanchery,29044
LDF,19,Alathur,28979
LDF,20,Tharur,28875
LDF,21,Kodunthirappully,21355
LDF,22,Kottayi,26005
LDF,23,Lakkidi,29138
LDF,24,Vaniyamkulam,22848
LDF,25,Perumudiyur,24461
LDF,26,Chalissery,27017
LDF,27,Nagalassery,28283
UDF,28,Thiruvegappura,19949
LDF,29,Kulukkallur,22681
LDF,30,Chalavara,25074
