Muncipality,Party Name,Ward,Name,votes
Cheruppulassery,UDF,1,Padinjattummuri,395
Cheruppulassery,UDF,2,Thootha,472
Cheruppulassery,LDF,3,HealthCentre,341
Cheruppulassery,LDF,4,Papparambu,446
Cheruppulassery,UDF,5,Naduvattom,410
Cheruppulassery,UDF,6,Karallmanna,424
Cheruppulassery,LDF,7,Aalumpara,439
Cheruppulassery,UDF,8,Ambalavattom,398
Cheruppulassery,OTH,9,Karumanamkurussi,516
Cheruppulassery,OTH,10,Kunnumpuram,409
Cheruppulassery,OTH,11,26 th Mile,353
Cheruppulassery,UDF,12,Kacherikunnu,372
Cheruppulassery,OTH,13,Mandakkari,396
Cheruppulassery,OTH,14,Illikottukurussi,396
Cheruppulassery,OTH,15,Puthanalkkal,437
Cheruppulassery,LDF,16,Nirapparambu,692
Cheruppulassery,LDF,17,Unginthara,407
Cheruppulassery,OTH,18,Unginthara South,390
Cheruppulassery,UDF,19,Kuttikodu,405
Cheruppulassery,UDF,20,Kuttikodu South,440
Cheruppulassery,UDF,21,Kuliyadu,339
Cheruppulassery,OTH,22,Eliyappeta,432
Cheruppulassery,LDF,23,Kottakunnu,412
Cheruppulassery,UDF,24,Secretarypadi,503
Cheruppulassery,OTH,25,Cherppulasseri,426
Cheruppulassery,NDA,26,Kavuvattom,297
Cheruppulassery,LDF,27,Malmalkunnu,564
Cheruppulassery,LDF,28,Manchakkal,278
Cheruppulassery,LDF,29,Vellotukurussi,360
Cheruppulassery,LDF,30,Panniyamkurussi,499
Cheruppulassery,UDF,31,Chenthrathparambu,552
Cheruppulassery,LDF,32,Veetikkadu,373
Cheruppulassery,NDA,33,Nalalumkunnu,621
Chittoor Thathamangalam,LDF,1,CHERUMKODE,386
Chittoor Thathamangalam,LDF,2,BUS STAND WARD,612
Chittoor Thathamangalam,UDF,3,ARANGAM WARD,409
Chittoor Thathamangalam,LDF,4,CHEMBAKASSERY WARD,559
Chittoor Thathamangalam,UDF,5,AMBATTUPALAYAM,431
Chittoor Thathamangalam,LDF,6,MUTHUKAD,509
Chittoor Thathamangalam,UDF,7,KADAMBIDI,276
Chittoor Thathamangalam,OTH,8,VADAKKATHARA,470
Chittoor Thathamangalam,OTH,9,NARAMKUZHI,374
Chittoor Thathamangalam,OTH,10,KIZHAKKATHARA,447
Chittoor Thathamangalam,UDF,11,KANNANTHARA,355
Chittoor Thathamangalam,UDF,12,KOSSATHARA,376
Chittoor Thathamangalam,UDF,13,KACHERIMEDU,404
Chittoor Thathamangalam,LDF,14,ARYAMBALLAM,424
Chittoor Thathamangalam,OTH,15,DEVANGAPURAM,316
Chittoor Thathamangalam,OTH,16,VALMUTTY,502
Chittoor Thathamangalam,OTH,17,ANIKODE,329
Chittoor Thathamangalam,UDF,18,THEKKEGRAMAM,325
Chittoor Thathamangalam,OTH,19,THARAKKALAM,548
Chittoor Thathamangalam,UDF,20,KUNNATHUPALAYAM,576
Chittoor Thathamangalam,OTH,21,COLLEGE WARD,377
Chittoor Thathamangalam,UDF,22,BANGLAPARAMB,490
Chittoor Thathamangalam,LDF,23,PARUTHIKKAVU,369
Chittoor Thathamangalam,OTH,24,THUMBICHIRA,517
Chittoor Thathamangalam,UDF,25,MANNATHUKKAVU,339
Chittoor Thathamangalam,UDF,26,SREEKURUMBAKKAVU,233
Chittoor Thathamangalam,LDF,27,KADAVALAVU,269
Chittoor Thathamangalam,UDF,28,GRAMAM WARD,248
Chittoor Thathamangalam,OTH,29,METTUVALAVU,569
Mannarkkad,UDF,1,Kunthipuzha,383
Mannarkkad,UDF,2,Kularmunda,359
Mannarkkad,OTH,3,Chomeri,393
Mannarkkad,UDF,4,Koduvalikkundu,388
Mannarkkad,UDF,5,Perincholam,390
Mannarkkad,UDF,6,Ubhayamargam,228
Mannarkkad,UDF,7,Arakkurssi,350
Mannarkkad,OTH,8,Vadakkekkara,384
Mannarkkad,OTH,9,Thennari,326
Mannarkkad,NDA,10,Arayamkodu,486
Mannarkkad,OTH,11,Vadakkumannam,331
Mannarkkad,UDF,12,Nadamalika,217
Mannarkkad,OTH,13,Aandipadam,394
Mannarkkad,OTH,14,Nellipuzha,353
Mannarkkad,NDA,15,Aalthara,117
Mannarkkad,NDA,16,Thorapuram,264
Mannarkkad,UDF,17,Mundekkaradu,578
Mannarkkad,UDF,18,Nambiyampadi,485
Mannarkkad,OTH,19,Vinayaka Nagar,175
Mannarkkad,OTH,20,Parappuram,342
Mannarkkad,OTH,21,Narangapatta,471
Mannarkkad,OTH,22,Nayadikunnu,493
Mannarkkad,UDF,23,Chanthappadi,378
Mannarkkad,OTH,24,Perimbadari,228
Mannarkkad,OTH,25,Kanjirampadam,353
Mannarkkad,UDF,26,Govindapuram,421
Mannarkkad,UDF,27,Onnam Mile,343
Mannarkkad,LDF,28,Kanjiram,392
Mannarkkad,UDF,29,Nambiyamkunnu,391
Ottappalam,LDF,1,ANANGAN MALA,552
Ottappalam,LDF,2,VARODE,665
Ottappalam,LDF,3,CHERIKKUNNE,646
Ottappalam,LDF,4,THOTTAKKARA,590
Ottappalam,OTH,5,MYLUMPURAM,669
Ottappalam,LDF,6,AREEKKAPPADAM,230
Ottappalam,NDA,7,PALAT ROAD,303
Ottappalam,UDF,8,KOLOTH KUNNE,534
Ottappalam,LDF,9,EAST OTTAPPALAM,535
Ottappalam,UDF,10,POOLAKKUND,601
Ottappalam,LDF,11,KIZHAKKEKKAD,599
Ottappalam,LDF,12,PATHIRIKKODE,497
Ottappalam,NDA,13,AZHEEKKILAPARAMB,565
Ottappalam,NDA,14,PALAPPURAM THERUV,477
Ottappalam,NDA,15,CHINAKKATHOOR KAVU,317
Ottappalam,NDA,16,AAPPEPPURAM,387
Ottappalam,UDF,17,PALLAR MANGALAM,508
Ottappalam,NDA,18,PERUMKULAM,388
Ottappalam,LDF,19,KAYAREM PARA,424
Ottappalam,UDF,20,N.S.S. COLLEGE,320
Ottappalam,NDA,21,ERAKKOTTIRI,599
Ottappalam,UDF,22,MEETNA,449
Ottappalam,UDF,23,POSTAL QUARTERS,316
Ottappalam,UDF,24,KOOMBARAM KUNNU,595
Ottappalam,LDF,25,RAILWAY STATION,322
Ottappalam,UDF,26,THENNADI BAZAR,231
Ottappalam,LDF,27,KANNIYAMPURAM THERUV,440
Ottappalam,OTH,28,KILLIKKAVU,426
Ottappalam,LDF,29,KANNIYAMPURAM VAYANASALA,385
Ottappalam,UDF,30,GOVT: HOSPITAL,321
Ottappalam,LDF,31,KUMMAMPARA,496
Ottappalam,OTH,32,KANNIYAMPURAM U P SCHOOL,352
Ottappalam,LDF,33,PANAMANNA VAYANASALA,524
Ottappalam,NDA,34,PANAMANNA VATTANAAL,651
Ottappalam,LDF,35,VEETTAAM PARA,713
Ottappalam,LDF,36,KOLOTH PARAMB,566
Palakkad,NDA,1,OLAVAKKODE CENTRAL,780
Palakkad,UDF,2,KALPATHI,904
Palakkad,NDA,3,KUNNUMPPURAM,686
Palakkad,NDA,4,AYYAPPURAM WEST,944
Palakkad,NDA,5,KALPPATHI EAST,647
Palakkad,NDA,6,THONIPPALAYAM,990
Palakkad,NDA,7,KUMARAPURAM,808
Palakkad,NDA,8,VALIYAPADAM,755
Palakkad,NDA,9,MATTUMANDHA,919
Palakkad,UDF,10,KALLEPPULLI NORTH,425
Palakkad,OTH,11,KALLEPPULLI SOUTH,842
Palakkad,NDA,12,PUTHUR SOUTH,844
Palakkad,NDA,13,PUTHUR NORTH,641
Palakkad,NDA,14,SEKHARIPURAM,1028
Palakkad,NDA,15,AYYAPPURAM EAST,566
Palakkad,LDF,16,PARAKUNNAM,942
Palakkad,UDF,17,NARIKUTHI,858
Palakkad,NDA,18,KOPPAM,543
Palakkad,NDA,19,SULTHANPETTA,609
Palakkad,NDA,20,MANKAVU,987
Palakkad,LDF,21,VADAKUMURI,662
Palakkad,NDA,22,SELVAPALYAM,507
Palakkad,UDF,23,KUNNATHURMEDU NORTH,409
Palakkad,OTH,24,KUNNATHURMEDU SOUTH,525
Palakkad,LDF,25,CHIRAKKADU,866
Palakkad,UDF,26,KENATHUPARAMBU,516
Palakkad,NDA,27,MANAPULLIKAVU,530
Palakkad,UDF,28,CIVILSTATION,665
Palakkad,UDF,29,MURIKAVU,782
Palakkad,LDF,30,WEST YAKKARA,1179
Palakkad,LDF,31,PUTHUPPALLITHERUVU,1091
Palakkad,OTH,32,VENNAKKARA SOUTH,1013
Palakkad,NDA,33,VENNAKKARA CENTRAL,551
Palakkad,LDF,34,OTHUNGODE,934
Palakkad,UDF,35,THIRUNELLAYI EAST,874
Palakkad,UDF,36,THIRUNELLAYI WEST,895
Palakkad,UDF,37,KALLIKKADU,628
Palakkad,NDA,38,KAIKUTHUPARAMBU,594
Palakkad,OTH,39,NURANI,776
Palakkad,OTH,40,VITHUNNI,703
Palakkad,UDF,41,MUNICIPAL OFFICE,486
Palakkad,NDA,42,PATTIKKARA,901
Palakkad,NDA,43,VADAKKANTHARA EAST,738
Palakkad,NDA,44,SREERAMPALAYAM,1424
Palakkad,NDA,45,MELAMURI,679
Palakkad,NDA,46,VALIYANGADI,854
Palakkad,UDF,47,PALLIPURAM,599
Palakkad,NDA,48,MEPPARAMBE,819
Palakkad,NDA,49,KARNNAKI NAGAR WEST,1104
Palakkad,NDA,50,VADAKKANTHARA,1329
Palakkad,NDA,51,JAINIMEDU,719
Palakkad,OTH,52,OLAVAKKODE SOUTH,698
Pattambi,UDF,1,Valloor North,276
Pattambi,OTH,2,Valloor East,352
Pattambi,NDA,3,Second Mile,341
Pattambi,UDF,4,Kalappara,292
Pattambi,UDF,5,Kodalur Centre,396
Pattambi,UDF,6,Nediyamkunnu,316
Pattambi,LDF,7,Shankaramangalam,272
Pattambi,UDF,8,Thekkummuri,357
Pattambi,LDF,9,Chorakunnu,560
Pattambi,OTH,10,College,310
Pattambi,OTH,11,Kizhakke Angadi,321
Pattambi,OTH,12,Hidayath Nagar,241
Pattambi,OTH,13,Cherulipparambu,370
Pattambi,UDF,14,Kizhayur,328
Pattambi,LDF,15,Lovely,218
Pattambi,LDF,16,Kolorkunnu,362
Pattambi,OTH,17,Melepattambi,274
Pattambi,OTH,18,Umikunnu,396
Pattambi,OTH,19,Nambram,401
Pattambi,UDF,20,PattambiTown,222
Pattambi,UDF,21,Kaithali,348
Pattambi,UDF,22,Nethirimangalam,294
Pattambi,UDF,23,Civil Station,358
Pattambi,LDF,24,Paruvakadavu,371
Pattambi,UDF,25,Kozhikunnu,218
Pattambi,LDF,26,Vadakkum muri,511
Pattambi,LDF,27,Thottungal City,390
Pattambi,LDF,28,Vallur Centre,289
Shornur,LDF,1,KANNAYAM WEST,383
Shornur,NDA,2,KANAYAM EAST,625
Shornur,NDA,3,THRIPPUTTA,434
Shornur,LDF,4,KULAPPULLI U P SCHOOL,441
Shornur,NDA,5,MELMURI,572
Shornur,NDA,6,S.N.COLLEGE,408
Shornur,NDA,7,PARAKUTTIKAVU,487
Shornur,LDF,8,ARANI,448
Shornur,LDF,9,KAVALAPPARA,454
Shornur,LDF,10,KARAKKADU,553
Shornur,UDF,11,THATHAMKODE,747
Shornur,LDF,12,CHUDUVALATHUR SOUTH,437
Shornur,NDA,13,CHUDUVALATHUR,330
Shornur,LDF,14,ARIYANCHIRA U.P.SCHOOL,419
Shornur,UDF,15,TECHNICAL HIGH SCHOOL,356
Shornur,OTH,16,MUNICIPAL OFFICE,455
Shornur,UDF,17,SHORNUR TOWN,415
Shornur,NDA,18,CHUDUVALATHOOR WEST,185
Shornur,NDA,19,RAILWAY JUNCTION,404
Shornur,UDF,20,TOWN WEST,232
Shornur,LDF,21,AANTHURKKUNNU,231
Shornur,LDF,22,MUDUKURUSSY,66
Shornur,NDA,23,GANESHGIRI,438
Shornur,LDF,24,MUNDAYA SOUTH,676
Shornur,UDF,25,MUNDAYA NORTH,531
Shornur,LDF,26,NEDUNGOTTOOR,380
Shornur,LDF,27,PARUTHIPRA WEST,488
Shornur,OTH,28,PARUTHIPRA EAST,518
Shornur,LDF,29,MANJAKKAD,385
Shornur,LDF,30,GOVT. HOSPITAL,466
Shornur,UDF,31,ANTHIMAHAKALANCHIRA,645
Shornur,LDF,32,HEALTH CENTRE,472
Shornur,LDF,33,RED GATE,493
